Company Name,Sector,Country,Region,Indicator,KPI,KPI Value,Unit,Year
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",831.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",831.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",331.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",30.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2022.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",117.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",126.87,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",2.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",117.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",4.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",204.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",1.0,,2022
3m_corporation,Conglomerates,New york,North america,Board,"(i) shares purchased under the Board’s authorizations described above, and (ii)",31.0,,2022
